<!-- Log File: Djordje_Ugrinic_log.txt Start-Time: 2024-10-26 11:34:39 -->
Time-Stamp|Log-Level|Message
2024-10-26 11:34:29|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:30|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:31|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:32|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:33|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:34|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:35|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:37|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:38|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
2024-10-26 11:34:39|DEBUG|Raw API response: {"coord":{"lon":8.7209,"lat":47.3471},"weather":[{"id":804,"main":"Clouds","description":"Bedeckt","icon":"04d"}],"base":"stations","main":{"temp":11.38,"feels_like":10.95,"temp_min":9.69,"temp_max":14.13,"pressure":1017,"humidity":91,"sea_level":1017,"grnd_level":952},"visibility":10000,"wind":{"speed":2.06,"deg":50},"clouds":{"all":100},"dt":1729935149,"sys":{"type":2,"id":2003478,"country":"CH","sunrise":1729922390,"sunset":1729959481},"timezone":7200,"id":2658216,"name":"Uster","cod":200}
